,OFFER_PRICE,MATERIAL_COST,SERVICE_COST,COST_PRODUCT,ISIC,TECH_BP,TECH_C,TECH_E,TECH_EPS,TECH_F,TECH_FP,TECH_S,OFFER_STATUS
0,1711.0,1107.0,186.3,59.48,2100.0,0,0,0,0,0,0,1,0
1,26687.6,9282.0,7768.34,0.0,7110.0,0,1,0,0,0,0,0,0
2,6264.7,1722.0,2168.56,0.0,6820.0,0,0,0,0,1,0,0,1
3,4300.2,246.0,2775.92,0.0,3821.0,0,0,0,0,1,0,0,1
4,13693.0,4674.0,4179.38,1854.01,4719.0,0,0,0,0,1,0,0,1
6,1287.0,738.0,108.52,0.0,2710.0,0,0,0,0,1,0,0,1
7,8619.6,1845.0,3293.22,0.0,4742.0,0,0,0,0,1,0,0,1
9,6485.0,1845.0,1857.36,0.0,4321.0,0,0,0,0,1,0,0,1
10,1064.7,861.0,0.0,0.0,6820.0,0,0,0,0,0,0,1,0
11,3935.0,2829.0,0.0,0.0,610.0,0,0,0,0,1,0,0,1
12,29279.0,5100.0,10911.15,0.0,5275.093193332244,0,1,0,0,0,0,0,0
14,2863.2,510.0,710.31,0.0,4322.0,0,1,0,0,0,0,0,0
15,30941.9,11947.0,16483.75,15656.35,8413.0,0,0,0,0,1,0,0,1
16,5605.0,1968.0,1513.7,0.0,4763.0,0,0,0,0,1,0,0,1
17,4325.0,1107.0,1798.59,0.0,4641.0,0,0,0,0,0,0,1,1
18,1075.5,615.0,62.14,0.0,8299.0,0,0,0,0,1,0,0,1
19,1486.2,738.0,240.0,0.0,2652.0,0,0,0,0,0,0,1,1
20,24330.0,11316.0,6797.21,3329.29,0.0,0,0,0,0,0,0,1,1
21,7895.25,3976.0,1008.46,0.0,8610.0,0,0,0,0,1,0,0,1
22,23414.9,0.0,13377.71,0.0,4321.0,1,0,0,0,0,0,0,0
23,1551.5,984.0,37.8,0.0,6419.0,0,0,0,0,1,0,0,1
24,3461.6,612.0,1444.42,0.0,5275.093193332244,0,1,0,0,0,0,0,0
25,4778.0,1476.0,1474.04,0.0,8610.0,0,0,0,0,1,0,0,1
26,5812.0,1599.0,2521.16,2520.16,8110.0,0,0,0,0,1,0,0,1
27,3201.95,0.0,2257.94,0.0,6209.0,0,0,0,0,1,0,0,1
28,5204.0,1476.0,2056.83,0.0,5590.0,0,0,0,0,0,0,1,1
29,9805.5,3936.0,3424.52,0.0,5275.093193332244,0,0,0,0,0,0,1,1
30,1700.0,984.0,0.0,0.0,8411.0,0,0,0,0,1,0,0,1
31,8041.9,4182.0,1674.15,1449.15,7020.0,0,0,0,0,0,0,1,1
32,1291.6,615.0,281.03,0.0,4652.0,0,0,0,0,0,0,1,1
33,3519.0,984.0,1544.24,0.0,2100.0,0,0,0,0,1,0,0,1
36,2019.0,1230.0,36.69,0.0,6419.0,0,0,0,0,0,0,1,1
37,1312.85,1107.0,13.9,0.0,2652.0,0,0,0,0,1,0,0,0
39,1250.0,1599.0,0.0,0.0,6209.0,0,0,0,0,1,0,0,1
42,4687.5,1599.0,1900.0,0.0,8411.0,0,0,0,0,1,0,0,1
43,6831.9,1020.0,2969.82,0.0,4322.0,0,1,0,0,0,0,0,0
44,2661.6,1631.0,135.27,0.0,8610.0,0,0,0,0,1,0,0,1
45,2986.0,1353.0,241.16,0.0,8530.0,0,0,0,0,1,0,0,1
46,2169.25,1230.0,247.96,30.92,2652.0,0,0,0,0,1,0,0,1
47,6867.65,4059.0,402.88,0.0,4690.0,0,0,0,0,1,0,0,1
48,1981.0,861.0,190.02,0.0,2011.0,0,0,0,0,1,0,0,1
49,4365.8,1722.0,511.01,45.87,2592.0,0,0,0,0,0,0,1,1
50,1801.5,61.2,909.92,0.0,2813.0,0,1,0,0,0,0,0,1
51,35131.0,5900.0,19100.0,3200.0,5275.093193332244,0,0,0,0,1,0,0,1
52,18526.0,5166.0,8025.98,0.0,9999.0,0,0,0,0,0,0,1,1
53,3335.45,0.0,2779.55,0.0,4390.0,0,1,0,0,0,0,0,0
